,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm,L25_attention-max_word-max_norm,L26_attention-max_word-max_norm,L27_attention-max_word-max_norm,L28_attention-max_word-max_norm,L29_attention-max_word-max_norm,L30_attention-max_word-max_norm,L31_attention-max_word-max_norm,L32_attention-max_word-max_norm,L33_attention-max_word-max_norm,L34_attention-max_word-max_norm,L35_attention-max_word-max_norm,L36_attention-max_word-max_norm,L37_attention-max_word-max_norm,L38_attention-max_word-max_norm,L39_attention-max_word-max_norm,L40_attention-max_word-max_norm,L41_attention-max_word-max_norm,L42_attention-max_word-max_norm,L43_attention-max_word-max_norm,L44_attention-max_word-max_norm,L45_attention-max_word-max_norm,L46_attention-max_word-max_norm,L47_attention-max_word-max_norm,L48_attention-max_word-max_norm
mwesner-reformer-clm-True,0.3214062960300437,0.27955667399115247,0.3245479458324014,0.27579389475186433,0.6748404463583967,0.2662356547839629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squeezebert-squeezebert-uncased-True,0.6161803856317167,0.4897936405847256,0.6309744749517612,0.5252009155100476,0.657505683605718,0.703470351461668,0.6648187376802989,0.6054623829557043,0.6317258537024864,0.6710765729447885,0.6560096742168252,0.4698706707312225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v2-True,0.7063852910945596,0.6478850050289189,0.6235998845571102,0.6446813348423284,0.6501719118756165,0.6553361229198451,0.6673092278664283,0.6738387342427448,0.6858295586096075,0.6914760422088191,0.6587624558216537,0.602860231422762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-cased-True,0.531013545340175,0.6003103042646747,0.6481558483052107,0.6952402123910513,0.5570336873811945,0.6113782710742313,0.610415082586548,0.4904231816549069,0.5069292282987475,0.5326568999084247,0.5155548544303459,0.4824076922283359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xxlarge-v2-True,0.7309991698334085,0.5807449416279931,0.6051031980403708,0.573001384971355,0.5471791631217132,0.5608122904245649,0.5508738105784972,0.5693163005350342,0.5845564702608146,0.576747639073075,0.5670180057275793,0.5879287082657613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-base-True,0.6731057676018275,0.5421492489829425,0.4389619065385373,0.47152658696551475,0.5083653198549232,0.47342358945009816,0.4442164256591074,0.4609112472894731,0.5467182162272899,0.5103947816887668,0.49667035695539263,0.4651029453223088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-large-cased-True,0.6330791594268341,0.6768692317616343,0.7220339524558554,0.6176437910873016,0.5479573626616182,0.5280465124116023,0.5848260897730962,0.6416397676856006,0.5259918013015674,0.5338898079051181,0.5278234347099611,0.5357175897728547,0.5955995273021317,0.6041187585812817,0.5028578448341765,0.5704112880440262,0.6711753213807355,0.6582919645478932,0.5601952606117236,0.5623661362545755,0.6414065503156955,0.42490302858924794,0.5318273837140962,0.5441970706858373,,,,,,,,,,,,,,,,,,,,,,,,
bert-large-uncased-True,0.5238080510799288,0.3375633577188133,0.34592151926762793,0.5755455217356805,0.4438887941049529,0.45812266675341945,0.4962528225951541,0.4730452418698368,0.38848719666054926,0.6496670313712642,0.6941536229749936,0.6225138100898465,0.6864258257684003,0.6212792938124374,0.57195119266348,0.3710167365691019,0.5390874161900336,0.4875886110592748,0.5023907684486922,0.4886171657417275,0.34414881059807995,0.4754786289241904,0.35825831898199734,0.4221649965018644,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v1-True,0.6944276906407212,0.6755260223736347,0.600338352263575,0.6153251986105855,0.6135389320512731,0.6122731101314135,0.6316190138645964,0.6436963870665364,0.646700678776126,0.6342536393350997,0.6051232840498901,0.5658203699102311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-scico-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-base-cased-True,0.6991016127255703,0.6994963698104344,0.6069089622951169,0.5093442192882922,0.6100436914038962,0.6185436566467,0.6809798089439174,0.5862555796716185,0.5666355399072527,0.6274394122738951,0.5514432836139044,0.46731023783338554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.5915153492561569,0.6810170943907284,0.5710973939302619,0.6021492446838781,0.6163635013074489,0.7008170782679226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-rembert-True,0.5333273129747439,0.5918412885925083,0.46304044919330384,0.3399919499300381,0.362348773489294,0.188623415537255,0.219660383444455,0.326744961660671,0.6806009246730811,0.7078059629482456,0.5298936019809886,0.7262196655132767,0.47811413936574043,0.5378663028074598,0.5099069475443662,0.5473896312358981,0.5443869161413936,0.598542469352211,0.5420681603366876,0.5556381813708328,0.581862521731164,0.4772098506177206,0.5088286378230659,0.7577898309760299,0.5701799839448586,0.5187229157819386,0.47014281516089734,0.2674552464225212,0.19184945165877323,0.39793308928909543,0.26362554338430566,0.29841999335921726,,,,,,,,,,,,,,,,
xlm-roberta-large-True,0.7529435728627745,0.7064556431437771,0.636155365942268,0.4277907041141304,0.5472569555766034,0.49586004544551315,0.5003076082694161,0.5277901941308153,0.610381597269735,0.5429629677282392,0.5954843810693327,0.4228956709299661,0.5284208218321125,0.43038448758751446,0.44631344477846496,0.4338694969029597,0.5221170514038016,0.5055854222636016,0.5710507071243652,0.47946963168521667,0.49753813887722304,0.4208085058817159,0.5965368466361676,0.6462108514683095,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-xlarge-True,0.6324097347411712,0.5272217650460205,0.5415832060175525,0.5899469652296546,0.48297490208801314,0.5078023033611909,0.48837333515395764,0.4966115610759292,0.47547789115636563,0.46899171209529955,0.526815052478376,0.4650998009612698,0.4987756081331223,0.4697548834997373,0.4944907098476119,0.47609725684174625,0.38620528169378254,0.4199296206384742,0.4590149540737903,0.38926778305198656,0.3946226724187498,0.34796466239512014,0.3270890040159008,0.3582550409579164,0.36920305480492094,0.46569938635455865,0.40550764443595133,0.4701248281087061,0.44914519902563194,0.4132211949696922,0.48157309298327144,0.44358044723402756,0.4222969225173172,0.3361249951115767,0.5208596114119198,0.36882321715098704,0.3933144655501471,0.4356870129653263,0.44274375923836634,0.3140753846103137,0.3640937947282399,0.3718167435580669,0.37331589643734414,0.3276516958306814,0.41513972869357163,0.6258015343726219,0.6248028914910218,0.5029924397955284
google-reformer-crime-and-punishment-True,0.6982113320519006,0.29008666148517304,0.2957172832914822,0.3201461659814827,0.280515846540567,0.32607547099611056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.6350503682687848,0.6619545228778216,0.5810880320698841,0.5457718791633533,0.5965770836530798,0.43153590658358965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.6705544216945035,0.5392079139144164,0.6441549093400986,0.5729991950430022,0.5826990060308527,0.5661345079660144,0.5821075837135529,0.5236700055963169,0.482347495864427,0.5039415760447704,0.538743429110811,0.4395735252861644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-bart-base-True,0.6708369004755841,0.48652069386377333,0.3810913176375263,0.46135809442730524,0.5016760019289757,0.6286474845330556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xlarge-v2-True,0.7110155062760197,0.5644182107842038,0.6501003908822116,0.5955781763339976,0.612487163128313,0.5934186969849636,0.6045375715457842,0.5819626617882485,0.5895903689017641,0.6000595247192162,0.5838403470233132,0.561341859765488,0.5612561842351724,0.523176880063074,0.5481555311782049,0.5134587146757182,0.5096971777406683,0.48582287049508693,0.5123881230352414,0.5235704455202574,0.5611086440621951,0.5260355398705873,0.6138941120976326,0.5079638894480836,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-large-4096-finetuned-triviaqa-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-muppet-roberta-base-True,0.6728142989936202,0.5622843549487674,0.4726913185918505,0.48821236203532536,0.5381815852246703,0.4827663171202384,0.5107013617215937,0.6262796724444314,0.5207250860995675,0.5431615225826787,0.5631563888093412,0.6555681354584242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-bigbird-roberta-large-True,0.4842049517613282,0.7019706082253319,0.7027212811266346,0.6333734860337439,0.5486620529398347,0.5133344920732009,0.5351087230262783,0.4633210266804104,0.4664775284101955,0.5226803346417183,0.6220656397524862,0.5754476266051496,0.5826379896937706,0.5057602432107096,0.5248398556560557,0.5568823106670694,0.4988422012126503,0.49739770347180146,0.5290177573023735,0.5776420164786943,0.5124797450376748,0.48263404148960926,0.5003073426532343,0.5303408606815081,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-v2-xxlarge-True,0.5891779057295176,0.5733237760904588,0.3892635895928938,0.42079741457791975,0.5201816263911233,0.5213053129611777,0.529905419927678,0.5191170928857778,0.5041083639213604,0.47195501420511865,0.4699954283162369,0.2415972024115278,0.4392533640941047,0.5737186665042943,0.4050556179303667,0.45644927650117045,0.5314843399373451,0.5502428312220385,0.5209739671350418,0.5260813600381707,0.5040641953664082,0.39088563485831285,0.36576718498359795,0.25781254356628297,0.46225510322053964,0.6920088264445615,0.4182755654177514,0.4834044729503266,0.4882418796865029,0.4893000783991017,0.45459694043676535,0.5240637027158596,0.4255141335959292,0.5113161064413843,0.3621764824594155,0.24908789234112225,0.3755055913754022,0.6075439515203861,0.4164196744696502,0.4576764230196935,0.42886686223915704,0.40769757316106475,0.4778063777680074,0.5133656560536194,0.372416394110306,0.5126331966839152,0.47004201512540517,0.6060699222459669
