,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm,L25_attention-max_word-max_norm,L26_attention-max_word-max_norm,L27_attention-max_word-max_norm,L28_attention-max_word-max_norm,L29_attention-max_word-max_norm,L30_attention-max_word-max_norm,L31_attention-max_word-max_norm,L32_attention-max_word-max_norm,L33_attention-max_word-max_norm,L34_attention-max_word-max_norm,L35_attention-max_word-max_norm,L36_attention-max_word-max_norm,L37_attention-max_word-max_norm,L38_attention-max_word-max_norm,L39_attention-max_word-max_norm,L40_attention-max_word-max_norm,L41_attention-max_word-max_norm,L42_attention-max_word-max_norm,L43_attention-max_word-max_norm,L44_attention-max_word-max_norm,L45_attention-max_word-max_norm,L46_attention-max_word-max_norm,L47_attention-max_word-max_norm,L48_attention-max_word-max_norm
mwesner-reformer-clm-True,0.5729719702107922,0.5504478918594709,0.5609819802099283,0.509135692990441,0.7389959905153264,0.5063497665415669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squeezebert-squeezebert-uncased-True,0.7560021928599706,0.7022343491605971,0.767988291272908,0.7222286337763362,0.7681380463589915,0.7727280509199718,0.7580999926860243,0.7244320569901818,0.7582474362964675,0.7591338302389175,0.7722560681269415,0.6823236122941959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v2-True,0.7761189138180916,0.7402657814301421,0.7392363186894855,0.7452416382707476,0.7411582002293441,0.7440013955478563,0.7476308138501565,0.7487357549710423,0.7496031369424982,0.7481018766194923,0.7262964072179771,0.7457285521801383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-cased-True,0.7023965562613321,0.768998246263095,0.7641019788684912,0.784341337801771,0.7029962303789827,0.7704932561131093,0.7648309252853046,0.6691879862193244,0.6449551782719745,0.6408962942942656,0.629369965297716,0.6816331941602128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xxlarge-v2-True,0.7885637380896426,0.7084884330038627,0.7065847315603487,0.6795521996889752,0.6771220643213682,0.6698452642780182,0.6642486512580389,0.6672495678261025,0.6640184833808142,0.6628756773319048,0.6598988144643854,0.6834809916065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-base-True,0.7726041549280483,0.7005979172896997,0.6251050003165195,0.6432347488655746,0.6541294810645779,0.6840745282518366,0.6766033735071226,0.6543962858514178,0.6927309081309492,0.7012815488184615,0.6613266799954693,0.6987485323014336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-large-cased-True,0.763979073075227,0.7767447962599943,0.7873120790584223,0.7469497007675946,0.6923007574687502,0.7040321158714505,0.6757522707268183,0.7394455912575876,0.7028032431806507,0.6845059913888034,0.6853487159708894,0.6839947000484972,0.6959821291912229,0.717392872931055,0.6674439812071659,0.717981832646627,0.7736272579159477,0.7703988301670482,0.7172677709979999,0.6846236458606194,0.7340520051908715,0.6068285245131236,0.6554983988079008,0.7077612216545891,,,,,,,,,,,,,,,,,,,,,,,,
bert-large-uncased-True,0.7097369089299768,0.628729108773705,0.5882084551370428,0.7194039336229696,0.6183310741753303,0.6340629414009635,0.6558403029020227,0.6149122612543405,0.605208258401334,0.7562357612245758,0.7846286492081059,0.7311079104793686,0.772423270478028,0.725006493322928,0.6837332217034365,0.6091826336528482,0.667173349393352,0.6518804761545242,0.6237602132351109,0.6099362331824754,0.5554894898261747,0.611605730747344,0.5466171177435791,0.587410020810144,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v1-True,0.7760438248438063,0.7718622506820849,0.7356554882343657,0.7282643115789689,0.7261259564855193,0.7290994371175371,0.7306298698721612,0.7289918024133903,0.7259042024923098,0.7189661655993633,0.7115246424122434,0.7015262785051511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-scico-True,-0.004875049601739681,-0.003515660770485347,0.004593796740100854,-0.0007968831079766786,-0.0066563177254522566,-0.020437707945754818,-0.002824247485623229,-0.0011836057927300668,-0.004289106139992123,0.010933704996209428,0.004793017517095023,-0.015984537636473378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
