,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm,L25_attention-max_word-max_norm,L26_attention-max_word-max_norm,L27_attention-max_word-max_norm,L28_attention-max_word-max_norm,L29_attention-max_word-max_norm,L30_attention-max_word-max_norm,L31_attention-max_word-max_norm,L32_attention-max_word-max_norm,L33_attention-max_word-max_norm,L34_attention-max_word-max_norm,L35_attention-max_word-max_norm,L36_attention-max_word-max_norm,L37_attention-max_word-max_norm,L38_attention-max_word-max_norm,L39_attention-max_word-max_norm,L40_attention-max_word-max_norm,L41_attention-max_word-max_norm,L42_attention-max_word-max_norm,L43_attention-max_word-max_norm,L44_attention-max_word-max_norm,L45_attention-max_word-max_norm,L46_attention-max_word-max_norm,L47_attention-max_word-max_norm,L48_attention-max_word-max_norm
mwesner-reformer-clm-True,0.3223248891900798,0.3211166455711644,0.31207251211570813,0.3346702558184604,0.40120911443992935,0.2823184270409313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squeezebert-squeezebert-uncased-True,0.45479803267673585,0.511936484530115,0.4855059600812418,0.5114509071321663,0.5400290585608368,0.6002849110502866,0.5740361117776066,0.5552184003496895,0.532205573602944,0.5892893350353356,0.5984667264925299,0.3623741986321923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v2-True,0.5178281342906157,0.5883380126822724,0.5699809609677177,0.5615998431434613,0.5771672245122957,0.5603110713693616,0.5773441788892,0.5893672490633313,0.595478612862228,0.5950784464625865,0.5860567265924067,0.48692496820653824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-cased-True,0.5157593255489601,0.5120125765972343,0.534129329701058,0.5055504259015217,0.5130969622746459,0.5410672317276971,0.5170999998881397,0.4423966746785728,0.4225533407011615,0.5422769761368493,0.5500316403215249,0.4260263983309568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xxlarge-v2-True,0.5361998273400195,0.5822179257379083,0.5912943390380941,0.583362490286577,0.5338226594170387,0.5678542647226119,0.5512022810270133,0.573548488246882,0.5760776497819837,0.5769747511209905,0.5897208584197706,0.6118048507153675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-base-True,0.5348702342823025,0.543474370876931,0.47264733878455306,0.4903429540206039,0.4783989435710671,0.5005039740427574,0.4990756357621398,0.48693247967892084,0.506649966177514,0.5164930034375729,0.5098633588328852,0.5269860709273563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-large-cased-True,0.4188774225472037,0.4828795968893355,0.5507443454350591,0.5230995319992587,0.4476601616768212,0.4230628382939679,0.46739207469751926,0.4888036490870342,0.4600100759852695,0.4480978746129036,0.4237963076867558,0.4500819764666491,0.41687303840231565,0.457378976416166,0.408503866382649,0.45628613990948746,0.4956569255854389,0.49539167004768153,0.4192919329394094,0.4310814024534367,0.44445520160302887,0.3651654261451357,0.3453815278113409,0.36844998830646397,,,,,,,,,,,,,,,,,,,,,,,,
bert-large-uncased-True,0.5224114972856653,0.2551163472959445,0.23908788194209868,0.5246360600047574,0.30310840810819617,0.4757760540986432,0.4400108266903219,0.47721031494017757,0.27858849624720106,0.5372840219113408,0.5123670298093347,0.502732272183951,0.5046877176472656,0.6329160091825834,0.47498145648917045,0.31976597955168473,0.5371216392918913,0.470296250244211,0.4112734169242413,0.4161602244190003,0.32221327320810284,0.5413192821865018,0.4114240920355578,0.5717911565805912,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v1-True,0.4958709886865504,0.5982354156957237,0.5994805491748455,0.5913727330045866,0.5817052957565432,0.5965240949357252,0.5955521773535654,0.5927273511368313,0.589533757631512,0.5704890909614847,0.5426129661837734,0.5156913819047195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-scico-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
