,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm,L25_attention-max_word-max_norm,L26_attention-max_word-max_norm,L27_attention-max_word-max_norm,L28_attention-max_word-max_norm,L29_attention-max_word-max_norm,L30_attention-max_word-max_norm,L31_attention-max_word-max_norm,L32_attention-max_word-max_norm,L33_attention-max_word-max_norm,L34_attention-max_word-max_norm,L35_attention-max_word-max_norm,L36_attention-max_word-max_norm,L37_attention-max_word-max_norm,L38_attention-max_word-max_norm,L39_attention-max_word-max_norm,L40_attention-max_word-max_norm,L41_attention-max_word-max_norm,L42_attention-max_word-max_norm,L43_attention-max_word-max_norm,L44_attention-max_word-max_norm,L45_attention-max_word-max_norm,L46_attention-max_word-max_norm,L47_attention-max_word-max_norm,L48_attention-max_word-max_norm
study_1_microsoft-deberta-base-True,0.4798421110780409,0.4833865098665011,0.41939725438674735,0.44035602570852744,0.4510401346824366,0.4455328949271121,0.4579305978992718,0.43975628394327293,0.47533636774554944,0.4693040913564676,0.4564136396726711,0.45750127762474097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_1_bert-base-uncased-True,0.5311193397485496,0.46101221622786054,0.4716391311836781,0.5318245165802996,0.5599548341721627,0.5478171976236412,0.526348011441977,0.4383647485764286,0.4858955853578413,0.5151601632246964,0.4953030909570057,0.3251689128363164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_1_microsoft-deberta-xlarge-True,0.4745249117555667,0.4716793125770342,0.4404929684634445,0.4720321742591999,0.45253445434513573,0.4604630474759882,0.4529880749173846,0.45598758799334077,0.42888725732854033,0.4671579748267998,0.44673092556664507,0.44732589916320575,0.46080048099569176,0.4547624700279095,0.46798534791718877,0.4650658707886054,0.4215596786757816,0.45908591403550236,0.4503219176022989,0.42499613192347363,0.3823312373950497,0.32497005089246955,0.3355478645935454,0.33713404644132594,0.36156196760969245,0.4331755575905438,0.4191062380310582,0.44372822825161623,0.41106244800842134,0.4264696369164108,0.4394677949954486,0.43245279265043424,0.4147629817993375,0.429099328633576,0.44601619329547215,0.4563246480529061,0.4513629369184377,0.466136771010755,0.4498291582437722,0.4304733728380068,0.41098858152425194,0.4402136145471576,0.4627644685506994,0.42160669288462216,0.44632691540639013,0.5057286004718012,0.5110381528703499,0.48074977482216874
study_1_microsoft-deberta-v2-xlarge-True,0.5260781126252898,0.4975054095138737,0.39232159607306893,0.4662850733759666,0.5318620936310585,0.49863037140572125,0.5105849562978753,0.49208819104206686,0.43481974621351566,0.43380380646588285,0.41054094369324734,0.20068066932906062,0.22109315271020027,0.5195152956845794,0.4654339781334971,0.4455977438050148,0.44417047206843857,0.4461504286161418,0.45196351168785914,0.5122883831999967,0.3388568637982092,0.3994483027643144,0.37924459935436927,0.4201941649285221,,,,,,,,,,,,,,,,,,,,,,,,
study_1_bert-base-multilingual-cased-True,0.4566566868873144,0.4626882729372624,0.5296064545223299,0.4998652008219442,0.48234111824331094,0.4864070497455641,0.4834039488325768,0.4791921587113792,0.5048703266574508,0.47635920457235936,0.5063413083467136,0.4711619507557242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_1_google-reformer-crime-and-punishment-True,0.3770663390485292,0.393965862710591,0.3376347416401355,0.37926115294143775,0.3475909451029873,0.3916129213085717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_1_bert-large-uncased-True,0.47282227154813095,0.25020082295469903,0.31683085161135777,0.4493722278199906,0.3398248179953367,0.43628682873287733,0.42760616356254166,0.4588319608270702,0.2838155340459925,0.47209805252657105,0.4837678390830608,0.4841289796803699,0.47628452283187617,0.5622854276564819,0.4781089194470821,0.3442598739422768,0.5006200700345357,0.49503321989761645,0.39578423936777585,0.4405226228296407,0.3459817455688597,0.4966214820141925,0.42884085711409603,0.5177016886232534,,,,,,,,,,,,,,,,,,,,,,,,
study_1_xlm-roberta-large-True,0.5654400399377846,0.48611173699660154,0.48570080591813897,0.44010191496113027,0.5200476738409193,0.537328909768015,0.440752562094165,0.45723021450735124,0.48406588361549324,0.5012810251079831,0.547342094947144,0.5033725299574959,0.5294289548806851,0.4579133542359259,0.45772548164335497,0.43083040259080196,0.5194970170169353,0.494924974227288,0.5567916845057017,0.496605907735214,0.5027376431260326,0.48498682919866426,0.629267037066056,0.5645472210938245,,,,,,,,,,,,,,,,,,,,,,,,
study_1_albert-xlarge-v2-True,0.48779401677370104,0.49685584783727826,0.5226353686348489,0.5237554045802575,0.5063220805742691,0.5235070300871895,0.5398988320997596,0.5148379246140081,0.5320414018797986,0.4992931275382268,0.5092434767689836,0.48978887314674047,0.504093434463818,0.4848621205288541,0.4803636498695318,0.4877086148725827,0.48713226136483057,0.48076741994267524,0.4985891766538013,0.5200972758888002,0.5725821626427136,0.575164172547243,0.6120398090491718,0.3789765831180684,,,,,,,,,,,,,,,,,,,,,,,,
study_1_roberta-base-True,0.4767519149124602,0.4634101525796152,0.4980693163261071,0.4692419184333788,0.4571870707048582,0.4261797196473563,0.46853831461912976,0.492822625622525,0.4461249496378561,0.42264039205445636,0.420052663006368,0.4895049417076758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
