,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
mwesner-reformer-clm-True,0.14183121111314223,0.11590455943781348,0.10021246103508356,0.09958342223650302,0.21234499908862423,0.09379353544186178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squeezebert-squeezebert-uncased-True,0.6503529576190699,0.3493447556040791,0.4018435746843816,0.3799312365830431,0.39258477760135946,0.4344187972650162,0.3879595422569758,0.5085666163955336,0.4827657171816195,0.43346964998461796,0.5583055524366761,0.5536669691956578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v2-True,0.6590290037677601,0.6671525479924715,0.6463756394103306,0.64445063738998,0.6302467887592278,0.6196743796532123,0.6155374899984523,0.6200600403690126,0.624877261098941,0.6369685388459707,0.6602444906677469,0.7014012824880412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-cased-True,0.7419540974017801,0.41401813137346855,0.5714779964782152,0.6011029655813094,0.5800974228126503,0.5458099345849735,0.58897494070319,0.47285691969777727,0.5673627211163075,0.5748241336704268,0.5915524780414267,0.6852419511674976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xxlarge-v2-True,0.5836809289056093,0.6811608263549644,0.6669571477186504,0.6536030346207173,0.617008771863014,0.6115160482332886,0.5992358083351373,0.5912443381227378,0.5812883321833988,0.5753182908365848,0.609583391463376,0.6060044385547853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-base-True,0.5630275589069347,0.49680434306877147,0.5039537561933513,0.4923127131911692,0.5640128049165484,0.5082208454518343,0.5613234621024131,0.5204187070584727,0.543765123945383,0.5831750628931878,0.5587284636477352,0.5666992062939896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-large-cased-True,0.5427905017040859,0.5127349466883275,0.4942172708582884,0.47937921131013667,0.48472708134565534,0.4384155248387457,0.4579360828578225,0.44508525662735404,0.41426369167288746,0.4424528677503434,0.44702489983536037,0.4579674651644313,0.4667219087482188,0.4681124849198684,0.4918604896309809,0.4479953564185892,0.4766388126335133,0.4934819199165201,0.4168972755108029,0.2511419451393615,0.27725105760289875,0.24036725598460837,0.24056548616584428,0.4515004617432266,,,,,,,,,,,,,,,,,,,,,,,,
bert-large-uncased-True,0.7455185507847468,0.3576748430713842,0.1773922496502323,0.24136982651717576,0.2702358654499354,0.3303365724884701,0.36293773922029854,0.4193779843502787,0.4406762692080591,0.47289054526432744,0.5405447918428935,0.596860819370193,0.5957723199822645,0.5922943054379738,0.5765190715510424,0.4953512304255779,0.5884971846671083,0.5089710998288507,0.5387037704083115,0.536074131441333,0.4441911742120837,0.3870765728114595,0.344399349067963,0.43918601629750015,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v1-True,0.6517102532128823,0.6357068717901779,0.6138767893310424,0.6295726524813863,0.6415382476736636,0.6290168789977755,0.6330831442964624,0.6324857588409232,0.6337909211403634,0.6369535243371954,0.6428583244851506,0.6467533703855656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-scico-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-base-cased-True,0.6257397878799399,0.5349640377598979,0.5651051099778186,0.48329019335584067,0.5034007554052857,0.45601013920161243,0.41565761940155194,0.49538715258365795,0.46935235102224904,0.46227403926768196,0.4094557323066247,0.3666375381752094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.602020983880144,0.5226825062373376,0.6401398650907472,0.62214994366101,0.6666486428119027,0.6844833493197547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-rembert-True,0.504180131573362,0.44448631788929965,0.43874385076368255,0.31947116796828795,0.2840052449617357,0.18247171513371988,0.22033292977431423,0.2924439505420848,0.41523412825677053,0.37298662712084935,0.44529473977376377,0.5397394098589742,0.5144191815857758,0.5995534962747803,0.5346973214859654,0.596496427958532,0.5621633995541112,0.5906932311531208,0.5491730945535899,0.5103444182317834,0.5692270434552283,0.5408374472681835,0.5221667597775093,0.6331812677528567,0.36326232193436736,0.31542804024594995,0.157341667305118,0.07439030119731249,0.05873293678741811,0.09965146306963324,0.05518044301317275,0.07406282524456742,,,,,,,,,,,,,,,,
xlm-roberta-large-True,0.5549320678058483,0.5227172617669192,0.5742795964858682,0.2396065858711989,0.2915147026106462,0.39879556107189357,0.24921460152895333,0.26944791122917094,0.5296997049913184,0.35986047823135386,0.5350212492214629,0.20454478964296552,0.38104976832174636,0.3321028747009494,0.3358453905916378,0.32586141723396617,0.41991078025230605,0.4736373774971329,0.49816799327048683,0.5137869839358422,0.42349925618266854,0.3126877082338123,0.5965202138470036,0.5389953625350556,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-xlarge-True,0.5472626293901307,0.5490512490158181,0.5870709938618585,0.6180877055426366,0.6025221404978995,0.5646167812061375,0.544397795669948,0.5453922486469799,0.5080022263583593,0.4724943911445347,0.5302205365642617,0.44026602399843795,0.4962654765046902,0.4711294234377554,0.5239039597380165,0.4756365084199848,0.42577398091855423,0.4502710928649743,0.45951884614388167,0.42895846879721106,0.506345625446212,0.43767966239039974,0.38082191720990344,0.32868188861637515,0.3899357268929138,0.5289385803754326,0.517285512656358,0.5100286752488351,0.5801136882482509,0.49051915573975674,0.5032045324555501,0.5009907959904457,0.43812792613342033,0.40821595197957333,0.4992030518383603,0.3519293557275061,0.4186235454417989,0.38715046270726977,0.43917539454500654,0.38915311920146406,0.36523732172684414,0.3944851360956424,0.37924918009795444,0.36391773756663964,0.44816371967838126,0.3990967251828616,0.5012151897309916,0.5462305523069488
google-reformer-crime-and-punishment-True,0.3886952217097305,0.10194936768339287,0.06422976695593421,0.14465726376087876,0.06475862167145878,0.12895841934341992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.7247506802402448,0.5741210133408469,0.6337024573679364,0.5631692183137409,0.6098074241337738,0.5109179128022862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.7469770580672502,0.5017675838372155,0.5881860348468932,0.5395708403740058,0.5876272997935085,0.5331065235315718,0.5508685607502541,0.4670651058532868,0.5465791777512345,0.572549003105115,0.5394057007768229,0.5580590571678463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-bart-base-True,0.6392515048958798,0.5635659519808779,0.5417342957542838,0.5534093392136002,0.5296187653858869,0.5706598604656066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xlarge-v2-True,0.6900870193196846,0.5414423391448043,0.612635124954162,0.5750040094521575,0.599175666969429,0.5755550130918217,0.5921336873595285,0.563028722910282,0.5740422625839758,0.5620461033916507,0.5730068014608123,0.5643278870726279,0.5442539371586893,0.5446841314175005,0.5482243755925118,0.5501264683623768,0.5086768044572142,0.46168949339207455,0.4415805846218731,0.40032296776690457,0.4230071489494435,0.4169475421995777,0.44269860971048564,0.3477164988752118,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-large-4096-finetuned-triviaqa-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-muppet-roberta-base-True,0.6798597198305321,0.4886634609213355,0.47560178903088574,0.5108394372436745,0.478239221864993,0.4510460358140268,0.45743629543619696,0.48633316277993094,0.43276712103885123,0.45848881376505096,0.4930840730760754,0.5168898198469458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-bigbird-roberta-large-True,0.710554419694569,0.38712447457760674,0.609633589821053,0.6548503104806754,0.5939395116123117,0.531251560886433,0.49681707580133666,0.43536058811942535,0.3957883027926936,0.48850289781352657,0.4668726004847541,0.5306893126146556,0.5510035879992793,0.47744296799089725,0.4334479106958551,0.5109732509918051,0.5337257499392145,0.5209567960301565,0.510055346022596,0.6051435283875629,0.5477970429067462,0.5030052000132063,0.41878187551963925,0.3837705286341092,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-v2-xxlarge-True,0.6648053847838279,0.594327945570714,0.5833965065442942,0.6584552992041277,0.6552791697831619,0.643285927162083,0.6083531450462712,0.5920820390492891,0.5885825852064206,0.5573193063700266,0.5712102469047554,0.54333076902834,0.5518751811503234,0.48919582680986623,0.5372442148267716,0.5392679336174385,0.5131267138710113,0.552639881131889,0.557087587284436,0.5581718184786721,0.5872850859896034,0.43742012240499534,0.4159061329376841,0.501899866176045,0.5412259012259316,0.4273019801035509,0.45475894180328735,0.4823572655447956,0.4105247323325072,0.5130549345527246,0.5486304406407504,0.5488752442982574,0.603961167070484,0.4775226053854271,0.3699653892990134,0.44119776214654843,0.28599506819468556,0.20449383297676443,0.4900961373547062,0.48101697939449084,0.36841271509733775,0.49671922066949714,0.5858204539074829,0.5625896822742282,0.6004395372864718,0.5217833239889168,0.4647643944582279,0.4671028262858667
roberta-large-True,0.6063640819951608,0.4405566754364996,0.5505486161608607,0.5353518748096636,0.5343263512165144,0.4784487750717848,0.4390510908217967,0.40473815145501796,0.38076134719188204,0.39738934100395346,0.3793940236300896,0.41090474593167103,0.41584031823005474,0.35007452092178454,0.35429047324536295,0.31417922389649766,0.3515112156203268,0.38971482924893797,0.35927174410620905,0.40963623686276124,0.4563403223083509,0.40523112812796874,0.37523394121018316,0.4935199236470289,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-base-4096-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roberta-base-True,0.6586160185333471,0.5177225034688684,0.5306774139625684,0.5298495464117637,0.5294671403154078,0.47990579892445634,0.4670666055552594,0.5245578940686972,0.4233408465170132,0.3876980009050213,0.42189975319171946,0.5234539837000479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-v2-xlarge-True,0.6542072198537904,0.5767863394735936,0.5871165365039808,0.6552109186827771,0.6341715720200688,0.6239460415653401,0.5961105822487841,0.5778340435295425,0.5747968478964597,0.5389212299604265,0.5173325029382788,0.44845943790205667,0.4350814572516569,0.43200155634908144,0.5477436813192261,0.5377046614291603,0.45511760006918445,0.5193140331092169,0.5881023742506557,0.5697231772233852,0.5860428682974922,0.5326619114111316,0.4393126038226449,0.509229568039299,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-multilingual-cased-True,0.6028833156675224,0.43137354189562094,0.5717933511608612,0.6005573700980417,0.6213154459629929,0.610684517104882,0.5858112525418544,0.5721610791300278,0.5580284165036401,0.570388988773584,0.519878222984138,0.5142199847694983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-bart-large-True,0.6363810221484588,0.5934062204017027,0.5444611177286083,0.507478706672588,0.5993074594093404,0.5613656800292081,0.5701849846442172,0.5033493624593957,0.45599193406264465,0.4485078735694248,0.444502009786386,0.46216102934027153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-bigbird-roberta-base-True,0.6758759259259568,0.6700804438681448,0.6297981534370801,0.5963694771119404,0.5595536066045039,0.5653524518856158,0.5195645099144506,0.592720933146804,0.5398494729247441,0.5225590602760779,0.5114494637450445,0.5021311119437876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-large-v2-True,0.6161224608601555,0.5957808997015648,0.6115405540982051,0.6071079574513254,0.5898033052685293,0.5771196402357702,0.568660791981089,0.5772764567719226,0.5486011899310694,0.5440804545011303,0.5636109805274204,0.5490538951200646,0.5560069143071202,0.5681539768957226,0.5573191013767334,0.5684225314428463,0.5762763661582205,0.5715892261724836,0.5414963757102413,0.5757190677245009,0.5984659568554449,0.5681829526144003,0.6229874079286373,0.631375591828554,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-large-True,0.5359203837889969,0.5476399855692188,0.6008467526566438,0.6262149994894183,0.5892611679116054,0.5535133833567418,0.5542784235977651,0.542350391458793,0.5030888713768186,0.4846889151288534,0.505316783556871,0.4151570912870404,0.49246970512741667,0.4387378954553275,0.4723905731170917,0.45371803342820854,0.4028213203630225,0.4313169231746181,0.43927760077336747,0.40724629055964473,0.5113513380612431,0.46553744113168377,0.5264556232156965,0.5696160640183558,,,,,,,,,,,,,,,,,,,,,,,,
distilbert-base-cased-True,0.6701222125016143,0.5924149614905099,0.6242987450260585,0.5368613756853254,0.6006568318439849,0.6912913349184926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook-muppet-roberta-large-True,0.6506004315394915,0.41906833048176473,0.5097941700780769,0.567594299781327,0.5064828815404622,0.42495747519844884,0.4611630532100902,0.3890352085614237,0.4137443281329019,0.39359937712816845,0.43906471574209444,0.422090900194126,0.4090289171530141,0.35278942254030804,0.37126738483905003,0.370966540801038,0.49644484809725653,0.48717437308956335,0.5010547925309761,0.5141794521380703,0.45917155175702484,0.45262815962638514,0.3955810821669091,0.2146531545735931,,,,,,,,,,,,,,,,,,,,,,,,
