,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
mwesner-reformer-clm-True,0.4620762416708394,0.42282679484032665,0.43115156333191895,0.3729485313375076,0.5758840422079953,0.3760308830354789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squeezebert-squeezebert-uncased-True,0.7692653519369411,0.5874941896253464,0.6407501968345546,0.6892526104457732,0.6289148631053172,0.7109434671654841,0.6822188709996997,0.739743524299919,0.7251632960222936,0.698168339370835,0.7539207620528708,0.7582117472434513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v2-True,0.7559445095584819,0.7562846085901443,0.7449675058281763,0.7326362264975042,0.7203498728036183,0.7163083717219091,0.711701339855798,0.7104006454250962,0.7115610959038583,0.7175716303716879,0.7325637521938494,0.7565498905575848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-cased-True,0.7807004673727701,0.6782397680573929,0.7133624716373091,0.7061031905856591,0.7160178867132423,0.7233572681886152,0.7263874027132887,0.6512031004605957,0.6665086758614875,0.6601524538291552,0.6537040254302703,0.7059260350313475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xxlarge-v2-True,0.7101249290978958,0.7590506660014881,0.7340885091003363,0.7162996318026953,0.70212486483701,0.6885171070274234,0.6784524494295566,0.6700370966738637,0.6663841832599467,0.6750455971496159,0.69666371138625,0.702481684512943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-base-True,0.7457899575526555,0.6657659315047495,0.662505703397209,0.6562882153383323,0.6885644466704366,0.667713657092522,0.6965456244628608,0.6633045462759002,0.6808884756868882,0.713966231542144,0.6887453108959798,0.7039530330977211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-large-cased-True,0.7239969013928738,0.6899261282077747,0.6570310014415275,0.634161397019329,0.6173498376053289,0.6136212429603524,0.612673098194198,0.6339637681712842,0.6346986755750595,0.6529296597930891,0.6413736789154213,0.646737592360369,0.6423289706950306,0.6669670206860145,0.6561481069048454,0.6233865481336672,0.6105961111493148,0.6327454261453909,0.597756657312112,0.49148465602950603,0.5280510869001672,0.46095956011361744,0.46289169498296817,0.6585596156437283,,,,,,,,,,,,,,,,,,,,,,,,
bert-large-uncased-True,0.7945341080812839,0.6256712219238267,0.4780173136154246,0.5327508531665414,0.5470021736410403,0.5365346239673058,0.5357364188927197,0.5404382322554915,0.6032332360439919,0.634131624386239,0.6921503399405601,0.6924570035250915,0.7027160584757806,0.6997208861490276,0.6871388204722463,0.6483612853858514,0.6888487653945418,0.6481480853035724,0.6030600575417036,0.5958785090040265,0.5711528498137017,0.5278815346400489,0.4919592360776371,0.5202811901797305,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v1-True,0.7543840030116192,0.7609164043633677,0.7455595521014601,0.7432133396918118,0.7348021924609432,0.7332567001381457,0.7328016780356439,0.7340685719779688,0.7377017301771385,0.7442630329911193,0.7531910626137857,0.7606309027372945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-scico-True,-0.014543116720574385,-0.020390832468815012,-0.02784403330224395,-0.024797127301156647,-0.017507990637017027,-0.027551061571370168,-0.008531336803044442,-0.0015351718697786017,0.002964873916442643,0.008519617933809492,-0.008378991502990077,-0.013734514743362755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
