,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
mwesner-reformer-clm-True,0.12939936106383437,0.12059503199897538,0.11194393867908445,0.16565778081451504,-0.06303489256574349,0.15318507715104493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squeezebert-squeezebert-uncased-True,0.5054570756071418,0.50037423806087,0.50604146767759,0.516218334815517,0.5096881697636224,0.4962589429834397,0.29593962395375956,0.3956172830417357,0.409124843608035,0.40335721657493295,0.45538419555474086,0.5039998439161774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v2-True,0.5026205789110374,0.6065644955490544,0.5815391287119951,0.5569726974205321,0.5498041630146551,0.5372819537948961,0.5438663037526217,0.551967709208352,0.5624876872361659,0.5826434386073135,0.6224189704095026,0.5791254232278016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-cased-True,0.6639726126572252,0.29939307782614877,0.4297871783372926,0.40242442977760584,0.5090453711339834,0.523152737469474,0.5451888607896768,0.42489435731848507,0.4790041219322206,0.5771888608618932,0.564462039869037,0.5917122390899648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-xxlarge-v2-True,0.37155775255986495,0.6086532014274482,0.5650951675122903,0.5752995054872455,0.5022578101014065,0.5046984222316051,0.48085488062287035,0.48290539152127426,0.47119543984225687,0.46353571922740977,0.47569089284889576,0.5014063345142872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-base-True,0.5107825379147493,0.4647417026702657,0.45402073155899264,0.45427715233429095,0.4672381927194408,0.4521405814714372,0.45392327326466175,0.4345104562247046,0.44503402534044734,0.46848252419154635,0.4627989742764386,0.4838728619401809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-large-cased-True,0.41017924892674895,0.4401707755975439,0.43428362281562227,0.48834022107638675,0.4396126221709302,0.3703501731397309,0.42969881398704496,0.4348076629962327,0.42007413339147437,0.4003988215186942,0.4035326182981425,0.4359980308288975,0.40618046907484057,0.41323613819498617,0.4148699857482413,0.42843862789143444,0.4253435316071324,0.4317697681590968,0.3973346910467429,0.32833639775693385,0.35213723386651513,0.31808998918578957,0.2954050040630893,0.44998846518976404,,,,,,,,,,,,,,,,,,,,,,,,
bert-large-uncased-True,0.7072939872446805,0.2946353000660524,-0.002573196268304868,0.058629254414710306,0.11160609787797847,0.17446337499324108,0.15446201487161346,0.26855747474543507,0.21196212520669053,0.22634935887517463,0.276734343383358,0.37806899991063736,0.449785427133493,0.600698962567127,0.5227802931599292,0.422764339116637,0.49031639115660597,0.42320483990862695,0.380017941379841,0.36686490942522076,0.3492436244892987,0.2771069321258046,0.22303708515531517,0.25798426115721806,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v1-True,0.4971448236913848,0.5557183352807866,0.5816612226583505,0.5782625585045685,0.5603339083174558,0.5693231864515691,0.5743811348989334,0.5816355451965202,0.5942414096521229,0.6070458181944363,0.6168381778664962,0.6136193296664862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-scico-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
