,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm
albert-base-v2-True,0.2803386994180286,0.3327235238904985,0.36038015155116193,0.35689536342620387,0.3637824892626687,0.37351029230964533,0.3805872898955682,0.3976855027439689,0.4087368552903656,0.4215631821826993,0.40568980650876707,0.270317645319648,,,,,,,,,,,,
bert-base-cased-True,0.27979725865715727,0.2656324137761891,0.2590255703461418,0.27763404224188504,0.3038945351038896,0.29428089373144384,0.2503478789328041,0.26273748101647726,0.2593144005023929,0.3752997846017124,0.29744563040904937,0.24180567184718954,,,,,,,,,,,,
albert-xxlarge-v2-True,0.2748973238200881,0.4223338092952608,0.38602168254425717,0.39098821320849114,0.36230040457067053,0.369830050904154,0.33707017494069963,0.354716043560102,0.36870117455211054,0.37190539432677333,0.41946888702356994,0.4807308898589997,,,,,,,,,,,,
bert-large-uncased-True,0.32466344386657847,0.12242046486444241,0.12641560811538896,0.258718753981908,0.12965225885618428,0.34901201749384625,0.24281853726267152,0.2351209700922286,0.13972075250852772,0.25734189233409777,0.26729679637009335,0.28864711222317785,0.2627998786616085,0.4449639887192899,0.2769376866703192,0.18149734373328008,0.3748330121781758,0.25182878606662523,0.17990424660238183,0.23989018095809062,0.1905833329247308,0.4073507969926436,0.34003645290550244,0.4960138139304354
albert-base-v1-True,0.19070655169655207,0.37104638723718686,0.28615864786130557,0.37914694236942525,0.34635266409641313,0.3899108243706397,0.3764181788977993,0.3788664680474342,0.3689143675137365,0.3519738956308035,0.3103587891302158,0.2778301202894856,,,,,,,,,,,,
xlnet-base-cased-True,0.2544888583197717,0.26528752301020536,0.14920854781402657,0.14031693957363195,0.13210837152171012,0.25058167055383884,0.17314433568710053,0.15758655331597363,0.1499846345959809,0.15730211667646218,0.19058833185484636,0.039774369172522854,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.2546664996176152,0.2775124192549736,0.3786386728650584,0.3465888567635152,0.3911084927595689,0.3484809541386576,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.2467949365455998,0.2580247174851426,0.4867896828954861,0.28155643570973204,0.429957233701738,0.237315745842986,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.39882167096152077,0.24224908031574924,0.2571167137172023,0.37028337309038306,0.4299533138922629,0.40935251526160593,0.31205547652298504,0.2134964920565721,0.25923084128661944,0.34237846526819854,0.3706828584108231,0.2679565651514397,,,,,,,,,,,,
facebook-bart-base-True,0.2695432566113492,0.3168231093033806,0.2723971579472406,0.27888572928179617,0.2717382976990928,0.2698900026962196,,,,,,,,,,,,,,,,,,
albert-xlarge-v2-True,0.26998728924240056,0.30717558320608035,0.3381478916006391,0.2885387820462401,0.3034054870417292,0.3230614620143144,0.35817046608764674,0.3308135096636534,0.3294193455826359,0.3188969747490775,0.32449272735417506,0.322424992277276,0.32021505590731014,0.33253100240752265,0.3156436716643462,0.32860455549617623,0.3352091421569433,0.34397039786520506,0.3673977033871168,0.4158125624910975,0.45836611015040474,0.5057063909730954,0.5419676098477153,0.29121616705263054
google-bigbird-roberta-large-True,0.42691975285779893,0.26642968443401654,0.26826283427985154,0.260136987490259,0.3019515033497082,0.39139326702998356,0.24990431819195683,0.23386771747771504,0.1867581324829687,0.31310858311645473,0.2606950109478041,0.32232562034124285,0.2488929415024603,0.25258050531430254,0.3132408137674581,0.3590400209631345,0.24246876009106277,0.23472696122753,0.3243742293497023,0.22931039692444816,0.2397946785346341,0.2695176171625899,0.37224019077360326,0.515784315058487
