,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm
albert-base-v2-True,0.692936106919418,0.6613871411801937,0.6627770283617446,0.6684706559451162,0.6686138755550676,0.6699916777086825,0.6719866340521543,0.6724674565471379,0.6734209532468193,0.6691377064965466,0.6467558284163556,0.6639500042244201,,,,,,,,,,,,
bert-base-cased-True,0.6287350461890562,0.6892334926719151,0.6857502505469046,0.7021055451084866,0.6336024317111542,0.6947763248845092,0.686461683108243,0.5959686102180909,0.578362127823338,0.5768740140521423,0.5542369832778328,0.5999671544963134,,,,,,,,,,,,
albert-xxlarge-v2-True,0.7049824537602775,0.6555580691037413,0.6522196636000948,0.6363477433019771,0.6295962667612773,0.6276141130557731,0.6254680142217235,0.6246036629958264,0.6229515723086302,0.6194659391963474,0.6178013953074883,0.6187977059099089,,,,,,,,,,,,
bert-large-uncased-True,0.6386076141756499,0.5632571947754912,0.5056647649551419,0.6578026941021171,0.5338669181152508,0.5588478299447792,0.5783363627692403,0.5326387068745175,0.5035537370553779,0.6787782875686985,0.7020192139467316,0.6616962525515843,0.6923223647216081,0.6556110002555152,0.6139285500900642,0.5379148624985387,0.5988742331494452,0.5728142370836034,0.5651301423868149,0.5551567574140845,0.4950040161185679,0.5456353981899558,0.49507202409653983,0.5199461950455155
albert-base-v1-True,0.6881715030383675,0.6989770363391397,0.6536075632321401,0.6501206556190646,0.6509130197753987,0.6569219050723939,0.6571992087543118,0.6543186062951086,0.6498123680831482,0.6425261346719683,0.6320894424840166,0.6218511795376368,,,,,,,,,,,,
xlnet-base-cased-True,0.7005491502128195,0.7000257015284018,0.6241285851854546,0.6081163434789801,0.6203254814264578,0.6823239789621305,0.6707310087033703,0.6153671814788985,0.5907382215849709,0.5789389466177453,0.5757810940798623,0.5774842190554853,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.6647296554036378,0.6985389841255475,0.6512233641736388,0.6707841883750497,0.6728899272508614,0.6854795999353508,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.6757065615328993,0.6813472416878809,0.6426916191413595,0.646977046319418,0.6098876564726735,0.5289212880271151,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.6780343062322267,0.6583238856182247,0.675319409559326,0.6792618622685832,0.6283669835780011,0.6517222303190874,0.6461007620679942,0.6057494867514533,0.5691711715734814,0.5862916526977424,0.5479035815068034,0.5296585208935816,,,,,,,,,,,,
facebook-bart-base-True,0.696332198557598,0.6306192722610535,0.5656857221732295,0.575967429234062,0.6037469899956371,0.6937651200290772,,,,,,,,,,,,,,,,,,
albert-xlarge-v2-True,0.70235186375264,0.6533763045175796,0.6592544014894665,0.6618810565223772,0.6511308225233128,0.649881928174148,0.6511174712347804,0.6474402599037496,0.6525585501859646,0.6461323186812221,0.6390761736062223,0.6447704466765198,0.6324565169771529,0.6273646677849022,0.6183126488919184,0.610588103745747,0.5963052225448418,0.5875516435503332,0.5859073932049128,0.577782839354206,0.584421496006574,0.5598978942926741,0.5990482441017804,0.5764167287703613
google-bigbird-roberta-large-True,0.5769179335785035,0.7015676659032406,0.7027604407169161,0.6876542772230492,0.634289862721489,0.5937425083798493,0.6459194971271517,0.5952241947645878,0.5804231327462246,0.6189026021753201,0.6830299508767536,0.6273363919080616,0.6432440684008207,0.5638065326613638,0.591312717528931,0.6104091118643425,0.5854760650898246,0.5711585442510446,0.5834891045961312,0.6367019968275401,0.5777850013757996,0.5481766313055346,0.5475572682568284,0.5659792206827825
roberta-large-True,0.5629735258845765,0.6958653687069585,0.6964449893545718,0.6873216648294558,0.622311743777918,0.6074223292081363,0.6223482649811016,0.6096715666190955,0.6476498155997135,0.608941683275474,0.6248396842391603,0.5921277850439196,0.601044001263277,0.5622015562319553,0.5609777762874535,0.5836836875038387,0.5608037309995912,0.568285800979149,0.5307649333662803,0.6040892528066644,0.5873260586033673,0.581862949324276,0.5128214129360097,0.6300993673127929
allenai-longformer-base-4096-True,-0.22432027505182056,-0.2203186553324072,-0.21517672849459327,-0.21924157588023122,-0.21838491509781016,-0.21577896927112558,-0.21512678302908605,-0.21392440083212658,-0.2282762577881908,-0.2230508232297514,-0.22146667467201941,-0.22008108162181284,,,,,,,,,,,,
roberta-base-True,0.6966335247244368,0.665762009282711,0.6342146934536864,0.6076629516569375,0.6069014597259689,0.5634322763640189,0.5962956357455874,0.6715388767053717,0.5942110945024314,0.5597263900903435,0.5492177319064996,0.6142567138273431,,,,,,,,,,,,
bert-base-multilingual-cased-True,0.5657800082546991,0.66714099175275,0.6893163649999134,0.6917917107175875,0.6388840139619018,0.7014718969680919,0.6983311909361534,0.6783255105930914,0.6531047596613396,0.6775074529492486,0.690410826618143,0.6900064475304368,,,,,,,,,,,,
facebook-bart-large-True,0.692489728857503,0.601839798911307,0.5653290480940302,0.6966874350791705,0.6451502325280669,0.57066533145069,0.5990598855114414,0.5758642053711567,0.6103837268589176,0.5624870175834097,0.6388965060761799,0.5766145540543363,,,,,,,,,,,,
google-bigbird-roberta-base-True,0.7025953453300071,0.6875904937696393,0.664095658717428,0.6294612671304224,0.6335457020986268,0.59850267662512,0.6459423984424271,0.6945217151079022,0.6243618629281621,0.5826286203333729,0.5534340797369812,0.5715464988291656,,,,,,,,,,,,
albert-large-v2-True,0.6866895741320981,0.6566590633886884,0.6465592799105522,0.6452759166560167,0.6474696519592901,0.6504128391226912,0.6495996086003981,0.6534117736897194,0.6533852466003969,0.656338819511393,0.6499290407622842,0.6605572921637572,0.6594774680515838,0.6578416178557281,0.6671322790881195,0.6713065808149433,0.6573147489780585,0.6631611001552407,0.6668254311233638,0.6554704795717873,0.6459256438754496,0.6253672413984105,0.6276143253648809,0.6179501838690502
distilbert-base-cased-True,0.6857079020368716,0.6858616912482348,0.6405249170292929,0.6637247628493883,0.6194785213974552,0.5791657861329188,,,,,,,,,,,,,,,,,,
bert-large-cased-True,0.6093715075362107,0.5744363410049877,0.5210187655480887,0.7018157989777979,0.702614718722332,0.5941462314019222,0.6360857864652569,0.5457723490329495,0.578856360088373,0.5758198257422992,0.5650192390550275,0.6507258547296866,0.7017390770386739,0.6994170635986492,0.6897506378713014,0.6590417552506869,0.6056555074276644,0.5751314521891973,0.5764253807140203,0.6151636977182408,0.5435981625493911,0.5304118193356443,0.5073800124091011,0.6143574914369972
