,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm
albert-base-v2-True,0.6610410771194191,0.676811614088817,0.6667330733378649,0.6547943419810786,0.6486978355061847,0.6434353218468158,0.6375360948256853,0.6379430443844648,0.6421339690363854,0.6492459508029527,0.6657893335633923,0.6839689741392901,,,,,,,,,,,,
bert-base-cased-True,0.7052236463437714,0.5926906895529729,0.6194895466765133,0.6198429319051467,0.6324797205858526,0.640865892429534,0.6432876019253629,0.5706717194870667,0.5868034776545915,0.5889885050520862,0.5832787491444273,0.6232365056121001,,,,,,,,,,,,
albert-xxlarge-v2-True,0.607626718106962,0.6847382134971943,0.6570421054892859,0.6382411314830904,0.6213424712213225,0.6059277102317537,0.59897609627791,0.5894245885811464,0.5858589558502165,0.5914748093621399,0.6147784458672095,0.6270117533588571,,,,,,,,,,,,
bert-large-uncased-True,0.7249154448109858,0.5512175863545652,0.3900973986848229,0.43524599851685764,0.45646184346105584,0.43833812892822144,0.4365808660663366,0.4489187256972221,0.5053654915958156,0.5298624294174914,0.595164778975204,0.5962506026547675,0.611518735109291,0.6270080033036545,0.611247010649692,0.570721564206655,0.6172324082936246,0.577096919144547,0.5498682277172618,0.5490410710504301,0.5303242927797137,0.47187297007676055,0.426825789751109,0.45014364596752615
albert-base-v1-True,0.6643936928410357,0.6731382371110192,0.6641259510549421,0.6599577984170832,0.6509841945170808,0.6540721961713261,0.6533162200272691,0.6557659247500837,0.661071691873249,0.6710167073431378,0.6824302895733902,0.6892319453996594,,,,,,,,,,,,
xlnet-base-cased-True,0.6657728818018296,0.6269124811410307,0.6079262414074997,0.5809004736022696,0.5844596720346902,0.560154786543303,0.568841744352352,0.5653133297888575,0.5452925358646326,0.5327575189271242,0.548111790275661,0.5356716647733596,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.6588547953266237,0.6420760019318373,0.6704144961253827,0.6616944510000844,0.681087280867307,0.6809593190223902,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.7061108614749956,0.6406582957378559,0.6662419206874814,0.6381132203797912,0.6496614798775457,0.5451835413266732,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.7183949364276897,0.627964374889893,0.6427605124894263,0.6271985930704107,0.6702006065377121,0.6198279498660569,0.6336267296153995,0.5554865514319083,0.5884011740341127,0.6052697417788472,0.5053091578907795,0.5503156885226399,,,,,,,,,,,,
facebook-bart-base-True,0.6823945100529806,0.6446298693589082,0.6291988312501157,0.6364683559830078,0.6108519094632465,0.6417837054995843,,,,,,,,,,,,,,,,,,
albert-xlarge-v2-True,0.671641265999109,0.6382967950865375,0.651082693608458,0.6126205420553772,0.6317325387559684,0.6235348293346455,0.6120929997272402,0.6115401924726865,0.6120947984073417,0.5981249077481777,0.5944019031575138,0.606750977689748,0.581702619340846,0.590407521893561,0.5865056929075303,0.5727894263522717,0.5659340297873764,0.5634885645986641,0.5209722365635182,0.5214711085063558,0.5356657932273705,0.5184128080115644,0.5276860445248707,0.45842686219715345
google-bigbird-roberta-large-True,0.7038904544752266,0.5646230781489417,0.6352420788351015,0.6802872895444502,0.6435883233013789,0.5897412409404428,0.567492909423396,0.5436958316909429,0.5332800858992587,0.5689316719929274,0.5726242464368824,0.5768300020853324,0.589662872988202,0.5298387323177565,0.5342669557529541,0.5636096373959141,0.5597408034268742,0.5742627251901464,0.5665452643684847,0.591600575601146,0.5714935558580753,0.5637076665465606,0.5465618863427023,0.5030688746147911
roberta-large-True,0.664227977945769,0.5981129421360446,0.6209721306873619,0.661924355848756,0.6166533383597191,0.5467391883412378,0.5329553275919401,0.5051797267648682,0.522089317516405,0.5260557643906352,0.5136608182687832,0.5246948982457754,0.5112857822292753,0.47212664605525273,0.477529123332139,0.4930676653456713,0.4902539876243464,0.5055358862640315,0.4938276794426821,0.5148886772152537,0.5121593457590977,0.4913662299594286,0.4618721346132224,0.5521881430045076
allenai-longformer-base-4096-True,-0.22572134140827035,-0.22363407375236558,-0.22120144143524736,-0.22156098018049072,-0.21927918591346068,-0.22027997503920255,-0.22152275268958327,-0.216809355201565,-0.22969934680182164,-0.22877982882778286,-0.22387474503395804,-0.2234334823347144,,,,,,,,,,,,
roberta-base-True,0.6900637980973289,0.6358218281377495,0.6496930778073036,0.6192119291335634,0.5891314267517915,0.5555495398279432,0.5321812633701855,0.5757996171891947,0.5170687854057741,0.4861666745277166,0.4825221821704351,0.5497862840028934,,,,,,,,,,,,
bert-base-multilingual-cased-True,0.6469298361656637,0.5603737797946452,0.6364567294188519,0.6491271631849356,0.6402428683762753,0.6485420005176008,0.6290706353316285,0.6310485221424501,0.635901639174466,0.6363058825456744,0.6098800827537599,0.6269323589802999,,,,,,,,,,,,
facebook-bart-large-True,0.6784501000008258,0.6419782877357338,0.605855558157019,0.6193878896428806,0.648245105706384,0.6273041467255264,0.6279599575221433,0.5670215322434499,0.5435965508502638,0.509451082678082,0.5290770997679081,0.5251467725473956,,,,,,,,,,,,
google-bigbird-roberta-base-True,0.69157406523414,0.6657398545991685,0.661151993541165,0.6236356894039795,0.6151726400039464,0.6016348078879523,0.5923756134227022,0.6284462076477624,0.5821951592196664,0.5824292804877859,0.5594456220894429,0.5673151245671189,,,,,,,,,,,,
albert-large-v2-True,0.6473864426069945,0.6612009183083972,0.6568895964135393,0.6241438741154277,0.628991319148158,0.6356685086813677,0.6103947580452436,0.6126343412144222,0.6286850324293348,0.6216970447631686,0.6031520158828875,0.6216097682625231,0.6262230135827147,0.6040652400213653,0.6167959533356624,0.6316026183509361,0.6131566371140048,0.6112911490615104,0.631537360788803,0.6381101377185565,0.6302510688049173,0.6480480804943209,0.6702129387495347,0.6552063219100868
distilbert-base-cased-True,0.6895443800846363,0.6446417192209821,0.6515109944184495,0.65036293359448,0.6430054052812566,0.6601462073079071,,,,,,,,,,,,,,,,,,
bert-large-cased-True,0.7121715252667356,0.5929936594669298,0.4792878241028524,0.5263938899391901,0.5367734548780915,0.510232337757231,0.5337919232135505,0.5258960444169652,0.5426427187882245,0.5270081508586963,0.5613400360947265,0.6075180560262499,0.6155693777514711,0.6079267774040304,0.6242391546373326,0.589442005242553,0.5795522656957792,0.5802812652218582,0.5425706593005938,0.5877261663375715,0.5412725290473269,0.5588236727523482,0.524470188488851,0.5782979158070903
