,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm
albert-base-v2-True,0.08228440338705303,0.2716740048632344,0.25590177825994387,0.22171507791457534,0.24982956869798323,0.23516907411671975,0.2219337398322337,0.25699382505122814,0.28303817489363053,0.27272210580428313,0.27791609791506805,0.08034742709096165,,,,,,,,,,,,
bert-base-cased-True,0.19236186556731144,0.10031974483167531,0.11515578670317751,0.1265677819366221,0.18050657809221562,0.18204385727441286,0.11393997380193868,0.10132584169792754,0.10929315464747104,0.2882774142299785,0.31425561768493965,0.051959678351456824,,,,,,,,,,,,
albert-xxlarge-v2-True,0.1294091611987899,0.30422890399867375,0.3070302018350832,0.30776444242419787,0.23207266499188747,0.27991207589374006,0.2582532708885785,0.2720484871871883,0.2826140988533957,0.3174891855967482,0.34602271409180124,0.3959585274830151,,,,,,,,,,,,
bert-large-uncased-True,0.2397106348237441,-0.09609548566272744,-0.0651875155824264,0.10180930925815634,-0.13881462505139275,0.1859905274278738,0.15351544940836545,0.21220653793475644,-0.14279874703789228,0.11066314458173067,0.1030288719421858,0.11924858845785016,0.11494658111469842,0.37177400501240393,0.09667053667226805,-0.03968545089645984,0.2478773874000429,0.14753343595852286,0.08129575678087271,0.1350393943800441,0.024495695199586477,0.3676846259376653,0.2936148996878808,0.4700030980962833
albert-base-v1-True,0.022498845350882934,0.2538301147612431,0.28359887734002587,0.2727655887146789,0.2538327380870019,0.27900619778713726,0.27518185177067545,0.2712764012661713,0.2801204785501712,0.2717798792045932,0.23254464501798802,0.19499516767963904,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.10807230256143069,0.12373247730750239,0.23708109023978277,0.2662958064183111,0.31319161476039437,0.20948117766339963,,,,,,,,,,,,,,,,,,
distilbert-base-uncased-True,0.04587667200367717,0.11049425843235376,0.4091327279897696,0.18201919801228034,0.3337766256633992,0.01938959993304861,,,,,,,,,,,,,,,,,,
bert-base-uncased-True,0.23352610319721168,0.08106810868654657,0.11116740202801209,0.25231534988658744,0.3581238251937107,0.3435544191697009,0.21952973953821542,0.12057328566561824,0.23436609982083711,0.23865564636663467,0.3287673568362403,0.05368222862942391,,,,,,,,,,,,
albert-xlarge-v2-True,0.11485592206274059,0.13440519509030693,0.22787833488358167,0.17471999212385017,0.1620573169930658,0.18009555952735076,0.213605439255066,0.18684342464170126,0.20886208049999147,0.20595721530575814,0.2085413506352126,0.21917886714609058,0.2405761420044297,0.2473132566269452,0.22370346110798683,0.245894196848501,0.25023725923977763,0.2760307368392247,0.30774556476628656,0.363839846271053,0.42418680116337804,0.482598312604859,0.5372580129871085,0.17787647540855853
bert-base-multilingual-cased-True,0.15650466224140758,0.11103657849556987,0.23208816318896824,0.2669708164268132,0.1384107666227165,0.1098009931210707,0.1128227700149339,0.13044526428232414,0.18517975773946682,0.16498384005613712,0.2140080014521908,0.09995182596589439,,,,,,,,,,,,
albert-large-v2-True,0.11077472416372618,0.1724270562411723,0.18025272760295766,0.13365210513404913,0.14894754999634532,0.1212955515442104,0.12131999476775104,0.09292417544370597,0.10090642077497054,0.15318810207576564,0.10157723860603465,0.118364982901317,0.18959195248015132,0.21124260717224463,0.20317969200200955,0.24953532156392805,0.2836454928100041,0.26690516384186774,0.3304976716440758,0.3759877014373408,0.34506911203149265,0.3899792222312352,0.29126719802215634,0.13963312583512416
distilbert-base-cased-True,0.0938026526555695,0.11521425515275721,0.34065422195218537,0.31787776186693556,0.3231616980448147,0.09483179878206699,,,,,,,,,,,,,,,,,,
bert-large-cased-True,0.37742498561414445,0.03367306859312737,0.03778040201798562,0.11604925653160343,0.10816899609722937,0.07298667849460809,0.30059427844421965,0.13490094450529244,0.21479277192481794,0.2848190710227385,0.18603404377281357,0.22167185990864344,0.09404275572219846,0.13443717788995543,0.11726898062169128,0.07962700011228863,0.21652965276271435,0.1198873142704652,0.14244691533154386,0.4225850035988428,0.29412330279182036,0.29739666809852244,0.3178126982443417,0.2532545673773187
