,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm
study_2_allenai-longformer-base-4096-True,0.0768631909326922,0.16715581640511495,0.18319978353791674,0.1483274283056158,0.1363670470497002,0.13399742152585722,0.12975071597400395,0.12205189406226091,0.00837638134364773,0.004574556322866114,0.05642150735571453,0.056969075591585164,,,,,,,,,,,,
study_2_xlnet-base-cased-True,0.014306767824635747,0.07442233096881669,0.03699999905734368,0.05671932994023608,0.04527367449856089,0.07908003067556937,-0.010057231563432488,0.04114669351483416,0.1269810916358756,0.04463091073729713,0.08427267685375203,0.008160073641659833,,,,,,,,,,,,
study_2_google-bigbird-roberta-base-True,0.05156861715519428,0.05732384383858349,0.2761242470599346,0.20356249207079077,0.16382670539412977,0.211240158485817,0.1823522751223952,0.09066331668394882,0.14588102481569987,0.15209801416879548,0.2175583172272613,0.18083234884092592,,,,,,,,,,,,
study_2_distilbert-base-multilingual-cased-True,0.05638949337255904,0.07017023872330919,0.2274381995932227,0.17938761013929808,0.22969828838097356,0.12556780241493345,,,,,,,,,,,,,,,,,,
study_2_bert-base-uncased-True,0.16140276329631334,0.061710124651845194,0.06009716667901418,0.1757447087943334,0.2591473919100751,0.23056370690460426,0.1862386640984439,0.0772964189450475,0.22005132462859228,0.20810532148227737,0.22380396878461403,0.11542206465558827,,,,,,,,,,,,
study_2_albert-large-v2-True,0.08312450803001138,0.164932422779982,0.13485758371242754,0.1325827832378466,0.097713015530173,0.09602879030206007,0.11632652991900831,0.11221325196289159,0.09135047334928603,0.16349648091180094,0.13738392027011131,0.12541821690899002,0.1629049740752491,0.17929103277669914,0.19715993059170028,0.1977731826878201,0.2236819960599936,0.2034957157206188,0.20581773320988012,0.20712768840353935,0.23412968636794296,0.18200639112574993,0.14658600554408494,0.1036237392245498
study_2_bert-large-cased-True,0.21707657076706313,0.13802579881798183,0.017517296517658647,0.06217426995351283,0.058168033950880195,0.09207778438662845,0.22294284517520901,0.19305384534932712,0.17823010635024794,0.18159976800879185,0.19947875214557512,0.15835987139466517,0.0614456016614739,0.09903186470426295,0.06427210869432179,0.06962482192730372,0.16256225006071476,0.1471329734508318,0.1573328014397086,0.27614075472805405,0.13149868523197336,0.20055069514535306,0.21807930161279,0.1405954395767847
study_2_google-bigbird-roberta-large-True,0.2240494495321716,0.0531470837479058,0.05718875833678145,0.060567584576463634,0.12951689147222006,0.18779691671377213,0.08247104896558122,0.08309367172218932,0.03724504483751375,0.15407727822528564,0.08527764615077278,0.16827089253100563,0.12095689012860422,0.15732755249070324,0.2188934897126749,0.21290602895551497,0.15732220363286897,0.13941788412631143,0.20337506238257916,0.17466419679740292,0.1729211255381294,0.2260533010919003,0.25593911032775307,0.24857649172680274
study_2_bert-base-multilingual-cased-True,0.090613674560452,0.05885134351534662,0.14682570786415114,0.1514495952127766,0.17810374583484564,0.05604517205355037,0.07255225393917357,0.13754669340468398,0.17858437991847842,0.1277078564288147,0.15995943739363858,0.07955346512443004,,,,,,,,,,,,
study_2_roberta-base-True,0.038682299251520426,0.041452799721351505,0.1459634553444964,0.12302715905374838,0.13304937569304373,0.1410917815677617,0.12333917138383524,0.11421362447629227,0.11653734126929696,0.0846070139879204,0.15518238940455018,0.15511648366376257,,,,,,,,,,,,
study_2_facebook-bart-large-True,0.09928614713164745,0.14030298331407026,0.1797523531294935,0.03434017648489755,0.12294588814501296,0.15320308909571365,0.12313570215986346,0.08552629757670574,0.13534734037382937,0.12596762403747364,0.08230262693436494,0.1503124468487065,,,,,,,,,,,,
study_2_albert-xlarge-v2-True,0.07160408884797463,0.1578982460633981,0.12677352741598671,0.1253988092695342,0.15641476281411987,0.1580216173900254,0.13091576308593048,0.17436202979987264,0.15586781735206884,0.1471157370061445,0.14646937776686753,0.14176311689742888,0.16152905121651107,0.16549141509447063,0.16527781284578982,0.16972701907635282,0.18553368418131286,0.17036978879832465,0.20467563905657335,0.19781089951177994,0.23513855326899458,0.2434522769431436,0.2760996872895994,0.08953498342770863
study_2_bert-base-cased-True,0.11045886948329346,0.07887655874844825,0.06265395840549953,0.06414824713009536,0.1372316274656718,0.13257062429713914,0.07960887823892264,0.12924593613016072,0.14123297953791908,0.18444011153922202,0.18445947820187328,0.08416724357136862,,,,,,,,,,,,
study_2_bert-large-uncased-True,0.1406545411930899,0.066806444452756,0.031648009428245034,0.060807261597670054,0.042424612961537184,0.10623650611420461,0.14292632704756764,0.14261994248280094,-0.043106596124497,0.057190550675072956,0.049807601278539046,0.09238832365387674,0.04781944566788598,0.2670954617439788,0.09093716928468998,0.05371410726897601,0.20131689351111298,0.20029298337713441,0.11244028722678799,0.13783616872127558,0.11482378668698832,0.25574020731729263,0.28597398768676197,0.2878198140484488
study_2_albert-base-v2-True,0.03324745062930154,0.20015958576152573,0.1823010994459775,0.17336003665450825,0.18764044162421287,0.20683391032130563,0.21861664182671914,0.22482485982298944,0.24216428227816003,0.26160514531957646,0.2428319374610996,0.11975341568153451,,,,,,,,,,,,
study_2_roberta-large-True,0.15518102680776433,0.030552929851514886,0.03638333396224325,0.04562143722157875,0.16735211867262717,0.16014544604095676,0.09249319553266122,0.13593614059468517,0.13823314537922204,0.12552412503173493,0.07305443243031098,0.13110931600732634,0.09799957877965211,0.1220302645492165,0.16095898010030882,0.1430337467707146,0.144919612496331,0.14961179833808216,0.15533032350240553,0.13554640574186483,0.12335731755699803,0.15494838981178155,0.14608357784020282,0.15867795712190744
study_2_albert-base-v1-True,-0.0015143273992229058,0.18034330002466198,0.1819022258334691,0.16795705321743257,0.16121577193866038,0.19186649281906923,0.1919090391736832,0.17725147272483055,0.1848790478520263,0.17131298304884723,0.12097956670783803,0.08521791939708971,,,,,,,,,,,,
study_2_albert-xxlarge-v2-True,0.05916452406714225,0.25223679244344177,0.221287853352096,0.20385513115231818,0.19831500940714306,0.20037105576410744,0.19351756723151453,0.2371284087308034,0.22592458582715838,0.22795167284778758,0.23404661341091723,0.2726948488435711,,,,,,,,,,,,
study_2_distilbert-base-uncased-True,0.015084845582607524,0.06282591225529167,0.2923310278073755,0.117745297268229,0.2651117922296197,0.11344832124033354,,,,,,,,,,,,,,,,,,
study_2_distilbert-base-cased-True,0.04150338056671042,0.06282040273119058,0.224082344938018,0.22491911240185794,0.22111939712167833,0.11044139114968601,,,,,,,,,,,,,,,,,,
study_2_facebook-bart-base-True,0.03768289756134319,0.1648104402714849,0.14947295990248222,0.13463046848839436,0.11532762655342181,0.04492770346183413,,,,,,,,,,,,,,,,,,
