,L1_attention-max_word-max_norm,L2_attention-max_word-max_norm,L3_attention-max_word-max_norm,L4_attention-max_word-max_norm,L5_attention-max_word-max_norm,L6_attention-max_word-max_norm,L7_attention-max_word-max_norm,L8_attention-max_word-max_norm,L9_attention-max_word-max_norm,L10_attention-max_word-max_norm,L11_attention-max_word-max_norm,L12_attention-max_word-max_norm,L13_attention-max_word-max_norm,L14_attention-max_word-max_norm,L15_attention-max_word-max_norm,L16_attention-max_word-max_norm,L17_attention-max_word-max_norm,L18_attention-max_word-max_norm,L19_attention-max_word-max_norm,L20_attention-max_word-max_norm,L21_attention-max_word-max_norm,L22_attention-max_word-max_norm,L23_attention-max_word-max_norm,L24_attention-max_word-max_norm,L25_attention-max_word-max_norm,L26_attention-max_word-max_norm,L27_attention-max_word-max_norm,L28_attention-max_word-max_norm,L29_attention-max_word-max_norm,L30_attention-max_word-max_norm,L31_attention-max_word-max_norm,L32_attention-max_word-max_norm,L33_attention-max_word-max_norm,L34_attention-max_word-max_norm,L35_attention-max_word-max_norm,L36_attention-max_word-max_norm,L37_attention-max_word-max_norm,L38_attention-max_word-max_norm,L39_attention-max_word-max_norm,L40_attention-max_word-max_norm,L41_attention-max_word-max_norm,L42_attention-max_word-max_norm,L43_attention-max_word-max_norm,L44_attention-max_word-max_norm,L45_attention-max_word-max_norm,L46_attention-max_word-max_norm,L47_attention-max_word-max_norm,L48_attention-max_word-max_norm
mwesner-reformer-clm-True,0.5081630483078996,0.5216093295906913,0.5099339348199095,0.5636087443319885,0.6874185160691304,0.5810448394708618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squeezebert-squeezebert-uncased-True,0.714284335289894,0.721138478687267,0.7272023527201371,0.7259386690546547,0.7441448149859001,0.7740249476463197,0.7575932898098339,0.7304201897188352,0.7394896177517356,0.7776774288204661,0.7734926755866536,0.6576711808778556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v2-True,0.7488784157397719,0.7521887837315042,0.7477075646785268,0.7502475391781153,0.747891344286291,0.750669657221134,0.7518043830117801,0.7559112857919736,0.7608595477277883,0.7682458097966451,0.7598171747036787,0.7256098762812601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-cased-True,0.741908890610427,0.7423400317277866,0.7448437608466153,0.7414104907395377,0.7212711165074912,0.738299937647727,0.736302244968354,0.6804262111306862,0.6714528282364288,0.698313494668075,0.6648076873612104,0.7068019039603408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium-True,0.6032628000043113,0.6414170287140875,0.7250614385736036,0.7349289218972751,0.7428241972195551,0.74060834017722,0.744601780448344,0.7218689826069927,0.7341161393135172,0.679744593615889,0.7044738822046208,0.6717654050881994,0.6337071188639559,0.6846989058628946,0.6710102004960743,0.6465826773354809,0.6363457650194124,0.6721972697439434,0.656455619070476,0.6466985712652659,0.6579729082359085,0.6196013775948983,0.641514881961459,0.5869338062271279,,,,,,,,,,,,,,,,,,,,,,,,
albert-xxlarge-v2-True,0.7494754808976812,0.7518016997566891,0.7517504740486811,0.731921532422653,0.7211466149763701,0.7151118319507714,0.7088706091424057,0.7108138222425557,0.717689184245095,0.718347409577841,0.7272301707463426,0.7570835879997675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-base-True,0.7464949285716024,0.7334067701835881,0.6921820394731628,0.6693567290459257,0.6390120977658763,0.649258327392835,0.6935354944061052,0.6790929494575348,0.7026901048870347,0.725041894623674,0.7029429656914732,0.6897690540333372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large-True,0.48768481706543987,0.44720555075671653,0.45373233376240796,0.4702527908297652,0.4848704826226059,0.4058441150295388,0.46558663888778967,0.5258575012663219,0.543944732966678,0.43974000490868936,0.4443906160866843,0.4481432736268813,0.511175831818078,0.5138669654035456,0.48638810004208394,0.5135441029337997,0.44267908509553056,0.48108186720287704,0.5574847744781327,0.5315111378187927,0.5106328690709281,0.5392382070961527,0.4823525492667363,0.5742509369560075,0.5350333952693422,0.4742258490861681,0.5167396368817732,0.49487477787960066,0.48484424787631947,0.5005488172677003,0.44254550331025155,0.5154172628036118,0.5288568495907566,0.27880746637291204,0.3032047938904341,0.3290781879343752,,,,,,,,,,,,
xlnet-large-cased-True,0.7114230126617198,0.7294235971014211,0.7516374970797334,0.7316190275632979,0.6853241603415325,0.6864980964884759,0.6784701018409456,0.7150155052203393,0.6948964819003883,0.6861678443284537,0.673098251180788,0.6800553558636834,0.6743146353782249,0.7019257709967303,0.6609587611610803,0.7150195635747396,0.7326978745217976,0.7346953236865078,0.704834155922067,0.6998221746787207,0.7061923286303418,0.6237699606069251,0.6373854345999129,0.6782177335566884,,,,,,,,,,,,,,,,,,,,,,,,
bert-large-uncased-True,0.7325831036860785,0.5909590580539362,0.5816585206988417,0.7291319978775747,0.629711218351197,0.7067673031243253,0.6593944464905817,0.6619694419770535,0.6326905574928774,0.7435257232695421,0.7398659941012675,0.7251466528692537,0.7372670713978288,0.7693878245889977,0.7038861657110645,0.6243028963327821,0.7257544382985236,0.6865573241730988,0.6466620144920544,0.6429973670572192,0.5873450465436793,0.6666951396323703,0.5850350604562191,0.7031855802869029,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v1-True,0.7374607749734535,0.7677196127678148,0.7500086900020332,0.7509345194104464,0.7471669855574369,0.7530703349975552,0.7494172296418189,0.7457124521816676,0.7410587301425144,0.7338180316019435,0.7203464825439991,0.7068649282367245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenai-longformer-scico-True,-0.17884326119173807,-0.17471777924599585,-0.1793498993254257,-0.18362013502365016,-0.18021842184031883,-0.18021842184031883,-0.17920514557294356,-0.1784813768105326,-0.17898801494422026,-0.1849229187959898,-0.18948266199917857,-0.1865152100732938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xlnet-base-cased-True,0.7401424320888591,0.7369147677892772,0.6955240402657438,0.6647915233147478,0.7020650237764823,0.7303700155534889,0.7362245591575728,0.7161516026791148,0.6828832935777736,0.713909252253675,0.6812365484855059,0.6458093252928887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distilbert-base-multilingual-cased-True,0.7380641046435567,0.750448862738804,0.7373274091210384,0.7322692563716433,0.7458862601697597,0.7628313771609219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-rembert-True,0.7235739289926457,0.7489743546820374,0.6581754858596901,0.6343152249078517,0.5872419853837827,0.4170050086131399,0.47286913034929634,0.54532135559212,0.7499214347001829,0.7607060297491882,0.7289521474863402,0.7501938448584294,0.6666694346626878,0.7552396523786407,0.6766442476520647,0.7269383066341965,0.7309503434463371,0.7380633851344051,0.7344661962379749,0.7155882020254649,0.7222545714810981,0.683947713579003,0.7080571654224321,0.8080971857703982,0.7642928077001347,0.7087545144719978,0.7151148784688431,0.5126518387483231,0.5054863693904111,0.6398871643852452,0.5581785871746435,0.6061741378241156,,,,,,,,,,,,,,,,
xlm-roberta-large-True,0.7881755017750945,0.7426269388964359,0.7520150440935415,0.6602288212676272,0.742513384660931,0.6818790879000034,0.6876812661882329,0.7087243921645022,0.7489712088421162,0.7157295670078321,0.7522931890632686,0.6733153981630421,0.7273479745935311,0.604470921082626,0.6225051350380004,0.6184521312002953,0.6771564446500438,0.6832187407231123,0.7394964309409144,0.6879059966720722,0.7008508237441425,0.6407619822886462,0.7787222480204123,0.7904274212101041,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-xlarge-True,0.7533026655046784,0.7326114078309697,0.7040234762158845,0.7100094721512649,0.7036173415742616,0.6622828359890532,0.7171369816641255,0.6825483938327801,0.6563426569320127,0.7153119473115417,0.6593208135193721,0.701379319990997,0.7329546717064968,0.6980488011837881,0.7019945482218362,0.7024837783582618,0.6679362361875679,0.6902022764280561,0.7079829153603023,0.6963485322707509,0.6645784331662143,0.66525175082288,0.5822109216121927,0.49193287770368976,0.6931387854180819,0.6991017408282854,0.6679057157951696,0.6089719569418421,0.6975132570447463,0.645198074243409,0.6967049335051868,0.6827225893200718,0.642604758749845,0.6301986800687438,0.6433133096681459,0.665515839188733,0.7191203175578198,0.6723215001095961,0.6494380381286532,0.6800591005012702,0.6455644451353837,0.6926151120608097,0.6824834557800785,0.6953812898702973,0.6832412398630608,0.7367345118640003,0.699640058817772,0.7186417743493655
google-reformer-crime-and-punishment-True,0.6844921098677383,0.5240148366524667,0.49042750093631715,0.5433947938939655,0.4852675670534593,0.5511599950212335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
