,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
mwesner-reformer-clm-True,0.369084107184547,0.33899747081816795,0.32827305825868863,0.3297967874422084,0.42636000804627733,0.35901052421767465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squeezebert-squeezebert-uncased-True,0.7298331303532749,0.5574999174600941,0.6120026208857381,0.6223928834881983,0.6121303244479539,0.6700703571447946,0.6344138650390152,0.6909606063978596,0.6967236436273018,0.6700530195798698,0.7076477231355522,0.7189365644325119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert-base-v2-True,0.7623202027812411,0.7638202613639866,0.7545826992336885,0.7476570042192276,0.7377695368948003,0.7332392071296998,0.730869417039454,0.7313574457731333,0.735767703472671,0.7509249980894127,0.7746647538609471,0.7613102395663826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bert-base-cased-True,0.8014592600566917,0.6637230436031212,0.7155011369596264,0.7033643146620807,0.7361292091924296,0.7517133977119654,0.7424978969714979,0.677009220373117,0.6901737718078842,0.6982768145976624,0.6737292524501667,0.7244002530209578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium-True,0.5518456156944435,0.5676124957616644,0.6563005375549994,0.7016199613488727,0.6904312557579697,0.6345735016385552,0.6489371415839429,0.663693419893522,0.6792474340156046,0.6314454683717746,0.6401324338042452,0.6126265078119694,0.5962845992320795,0.6282068323683511,0.6089686974780808,0.616919418579031,0.6295228597902003,0.6157465281913724,0.5801518859749425,0.5931979914194665,0.5710353715057889,0.58035262598354,0.5789302551140514,0.5382175522933957,,,,,,,,,,,,,,,,,,,,,,,,
albert-xxlarge-v2-True,0.6970945120869413,0.7658537380875896,0.7382088656215848,0.7319704304827882,0.7022370897438097,0.6958809500939154,0.6820727304703222,0.6743089244359353,0.6726789519975949,0.6769606878161211,0.7010581390924154,0.7131756715324569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft-deberta-base-True,0.7313072739626086,0.7056863202500511,0.6810955715333898,0.6576307955467879,0.6101510006662747,0.6500277196916457,0.6428754456750534,0.6912598005418404,0.6634063356154777,0.6633663342807499,0.697161419745848,0.7079019961967408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large-True,0.11833440085547728,0.1366766947039365,0.1436161770605886,0.1713995016012216,0.19940081986875627,0.17988202800669797,0.20494225686923884,0.2947939959515013,0.37686771215389586,0.42443317330388175,0.3401526388691842,0.28608669164375544,0.4509340218578388,0.38192109139360747,0.40529442365201457,0.371936502896631,0.33514507909837193,0.340864319372908,0.4078069954483867,0.3491695876395926,0.35392612875780716,0.4316510323998971,0.34807543246343386,0.3930220572228847,0.3666592517687611,0.3275282746804401,0.3041081975070846,0.31747173353389313,0.34472398528991366,0.3362067433801317,0.4004935520371531,0.48854317596166963,0.41922202130124697,0.3639744720554939,0.2583473044500231,0.21171475641833504,,,,,,,,,,,,
xlnet-large-cased-True,0.658119292927253,0.6678398122716945,0.6545608646855635,0.6714046040855004,0.6229691681454604,0.6184932787949287,0.630315961773334,0.6521129617483168,0.6292957514902404,0.648301081631211,0.6358926709997219,0.6478370236746193,0.6258750225876843,0.6424753089510735,0.6529985253423293,0.6435470258533004,0.6415427824502629,0.663490409553033,0.6229712913251225,0.5537566962664103,0.5521297516525714,0.5076270557167757,0.4884932163988533,0.6715103901149951,,,,,,,,,,,,,,,,,,,,,,,,
bert-large-uncased-True,0.8121289380002223,0.5943488172736104,0.420311801334435,0.4879080613790155,0.49423601868552275,0.5081598482908559,0.49327938088002904,0.5328900908575802,0.5863626727561878,0.6204248563669091,0.6601573171841953,0.680269372902674,0.7110258181544276,0.761527173843753,0.7106118164795732,0.6594573419744828,0.7219993030929165,0.6714007578085215,0.6315774036810676,0.6158619217120256,0.5945501126071471,0.5335366412763989,0.46629458428051085,0.5165078032776812,,,,,,,,,,,,,,,,,,,,,,,,
