,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
task_3_allenai-longformer-large-4096-finetuned-triviaqa-True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_3_albert-base-v2-True,0.33989565869913974,0.28932489400111666,0.28293434964004316,0.2684696296218882,0.26261567114194273,0.26269292525887494,0.2506046631882712,0.24734332428851916,0.24798434657652563,0.25276552763979454,0.2574558491491322,0.2971565798270788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_3_albert-xlarge-v2-True,0.31532547682524736,0.26561706896090426,0.25256860055865,0.24108314058298058,0.24584770790929766,0.24448025784511868,0.23231630611990844,0.22014232482258547,0.21321767201732594,0.21547366087765274,0.21080398562896563,0.20274245304102548,0.20792809146344873,0.1945369667088618,0.20518734921223764,0.1860819030727547,0.19820238085616299,0.18073618847183923,0.17022006857574803,0.15505853568851535,0.16418640707828497,0.193068508037302,0.20257914983741573,0.16931707413856298,,,,,,,,,,,,,,,,,,,,,,,,
task_3_microsoft-deberta-v2-xlarge-True,0.307148819453089,0.28733516078164234,0.2403788002753528,0.2640215430882637,0.2525158745309456,0.25800007394661245,0.23910269009151236,0.2620606345983549,0.2669336714269302,0.26773770124511403,0.2656262195162546,0.2615527977562232,0.2202874851568056,0.2334323793425758,0.23030364437474782,0.2469145177763016,0.2469860099200621,0.2520281666924622,0.25125944355211355,0.27048492727397416,0.2885279391931102,0.2728529478954368,0.24029825899245796,0.2643744077202013,,,,,,,,,,,,,,,,,,,,,,,,
task_3_microsoft-deberta-large-True,0.28566370253042206,0.24080759550988998,0.24478091776030303,0.26226225321999624,0.272804614273165,0.2566369633363413,0.260641223937879,0.24697595012592127,0.22869706230740353,0.2185003656487088,0.22124307299692964,0.20181097810775725,0.21791228637172805,0.19501405759447002,0.22313484801431344,0.20619207573486129,0.20212616754823126,0.2131362435101258,0.21248423580210246,0.20099319241557762,0.2235391969592685,0.24035153766909395,0.24905935331955156,0.25691115448016066,,,,,,,,,,,,,,,,,,,,,,,,
task_3_xlnet-base-cased-True,0.3151806965445806,0.2787226592750287,0.27102943253817113,0.24976355082227875,0.26510374661055036,0.26288490101055817,0.25182709115070473,0.26815695199446227,0.2559488859303525,0.25094222586256437,0.25090338505255855,0.2205257589546135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task_3_bert-large-uncased-True,0.32993349932858856,0.2574086059999173,0.19412326275194294,0.21905475778880984,0.21351275913358023,0.20518865012960538,0.19865806380897205,0.20211674768870658,0.2370417457666753,0.2743494933706796,0.2861707856564795,0.2625796472330785,0.28056671284522877,0.25792046381779066,0.22816694865375234,0.22243396302636104,0.21851337287404887,0.21195909128912244,0.2146122598946666,0.20819251269418973,0.20993081830687635,0.19711866923930074,0.16440567831275987,0.17449353833804102,,,,,,,,,,,,,,,,,,,,,,,,
task_3_google-rembert-True,0.2858303191855271,0.27443606691754047,0.24407188355617138,0.2181272807682075,0.19861591959726216,0.16211764810234486,0.19669104793620903,0.2530099832533277,0.2988030102373038,0.2621808817590008,0.27646578739617217,0.29636494302475075,0.27273077485571356,0.2575570283461344,0.22809114249055057,0.22924185558229163,0.23949622788551556,0.21372360013081138,0.2035937947244849,0.20293399248574132,0.2170537854344847,0.2549484652678368,0.2630126113528056,0.274235532757725,0.21917743127811282,0.2106647857555732,0.1621018525552931,0.13662735108757199,0.1424072498898837,0.14768743852467678,0.14083775814299473,0.16193039637974257,,,,,,,,,,,,,,,,
task_3_albert-large-v2-True,0.3291144002269423,0.2998056932703552,0.2724818450377126,0.27278239502362006,0.2685942900458034,0.2588034581082332,0.26221093823252856,0.2544056863660353,0.2516177298926697,0.24963043169140428,0.24934927792839193,0.25096273572011946,0.2473342100920828,0.24872419822379993,0.24946557683112397,0.24617281159574336,0.24092102624725537,0.24542409500496484,0.2440861021782507,0.24653250072722804,0.25897028984153936,0.2691429223897425,0.2967059232082831,0.2973076080097988,,,,,,,,,,,,,,,,,,,,,,,,
task_3_albert-xxlarge-v2-True,0.3183059881631867,0.287963572357654,0.26198916372112896,0.24001629561476095,0.22744795158769848,0.21788843300263852,0.21747069514998654,0.20738853787172165,0.19872996459033782,0.20335395474930815,0.22550245253146908,0.25741735009005023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
