,L1_attention-mean_word-mean_norm,L2_attention-mean_word-mean_norm,L3_attention-mean_word-mean_norm,L4_attention-mean_word-mean_norm,L5_attention-mean_word-mean_norm,L6_attention-mean_word-mean_norm,L7_attention-mean_word-mean_norm,L8_attention-mean_word-mean_norm,L9_attention-mean_word-mean_norm,L10_attention-mean_word-mean_norm,L11_attention-mean_word-mean_norm,L12_attention-mean_word-mean_norm,L13_attention-mean_word-mean_norm,L14_attention-mean_word-mean_norm,L15_attention-mean_word-mean_norm,L16_attention-mean_word-mean_norm,L17_attention-mean_word-mean_norm,L18_attention-mean_word-mean_norm,L19_attention-mean_word-mean_norm,L20_attention-mean_word-mean_norm,L21_attention-mean_word-mean_norm,L22_attention-mean_word-mean_norm,L23_attention-mean_word-mean_norm,L24_attention-mean_word-mean_norm,L25_attention-mean_word-mean_norm,L26_attention-mean_word-mean_norm,L27_attention-mean_word-mean_norm,L28_attention-mean_word-mean_norm,L29_attention-mean_word-mean_norm,L30_attention-mean_word-mean_norm,L31_attention-mean_word-mean_norm,L32_attention-mean_word-mean_norm,L33_attention-mean_word-mean_norm,L34_attention-mean_word-mean_norm,L35_attention-mean_word-mean_norm,L36_attention-mean_word-mean_norm,L37_attention-mean_word-mean_norm,L38_attention-mean_word-mean_norm,L39_attention-mean_word-mean_norm,L40_attention-mean_word-mean_norm,L41_attention-mean_word-mean_norm,L42_attention-mean_word-mean_norm,L43_attention-mean_word-mean_norm,L44_attention-mean_word-mean_norm,L45_attention-mean_word-mean_norm,L46_attention-mean_word-mean_norm,L47_attention-mean_word-mean_norm,L48_attention-mean_word-mean_norm
study_1_microsoft-deberta-base-True,0.43670815798700763,0.3768342202920161,0.37393645626690425,0.3748811916626856,0.3906514247745464,0.384159074159951,0.4167115706755781,0.4055235722482351,0.4088856946435596,0.43249973151205384,0.4034726307243918,0.41133753907378906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_1_bert-base-uncased-True,0.6318247681003762,0.3463640495113156,0.41964511242766034,0.43274501845922403,0.5074415969225397,0.4617934677781757,0.4731135787895442,0.3750533895190065,0.4482996666974277,0.5237088081120732,0.4686779708619518,0.41098196332973147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_1_microsoft-deberta-xlarge-True,0.43363469325176296,0.4017457870811517,0.3992545057517271,0.4280249542493518,0.4116206300484322,0.3831573910070489,0.390888357386499,0.3795587659703256,0.3741398511756599,0.36800125740097356,0.3827516879912992,0.35995718974020774,0.3807683427524635,0.37202468187897625,0.3913318863451022,0.38224884930399977,0.36108253733833373,0.38214424688666127,0.3635366724878756,0.3549482293463294,0.3836121606244159,0.3429656584394165,0.31801473009830655,0.2724060589625729,0.3239786886708419,0.3513529597179089,0.35020732979451624,0.3668197327167576,0.37253401680710013,0.35212760203857046,0.362196238876888,0.3628456672203489,0.3368001673448672,0.34301020256979936,0.3738117394175629,0.3453490605663868,0.36833038962251835,0.35876457836763587,0.37914035630097154,0.3737892040465942,0.35562098093061184,0.3804248159357688,0.3602600053068849,0.3381880688860034,0.37365561833796307,0.37998625416080145,0.3829922503737175,0.4220769373469685
study_1_microsoft-deberta-v2-xlarge-True,0.5942498536794736,0.3949320523382551,0.46516067515205484,0.5006024616812876,0.5036357823622439,0.4767361411299457,0.43975321536704104,0.40971771312560384,0.4458569163739402,0.4323517688889587,0.48165183319506993,0.3657097166960885,0.2703882725650074,0.33600131887096624,0.40045197865597226,0.42856629555833003,0.3315118108970481,0.4053212288659312,0.42913859138740085,0.4343375649390811,0.4398025525031663,0.33358400884146877,0.314456240828024,0.3872509815193591,,,,,,,,,,,,,,,,,,,,,,,,
study_1_bert-base-multilingual-cased-True,0.45907804339518,0.28071565720828867,0.3915793021338562,0.4616629118144242,0.4985214921872422,0.46474562271125097,0.45749172063718163,0.4386372950497603,0.44386689196210277,0.45744271342332526,0.5104424785746713,0.4168426031747468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_1_google-reformer-crime-and-punishment-True,0.1837849355723856,0.21955182700304549,0.12180771587302207,0.24463431159555793,0.11600754191067013,0.2405722144971238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_1_bert-large-uncased-True,0.621135090822037,0.26106141482098144,0.039007906352214045,0.08120080802662946,0.11533406561792597,0.1854270519085162,0.15470467999072646,0.25415310644545613,0.22824569706306921,0.254380826587058,0.3014708019972817,0.3723112582326897,0.4149142588876572,0.5008087142312915,0.4699369649538864,0.40072214238441484,0.4740021629411775,0.4546581663074657,0.4319332224374091,0.44771105225552144,0.4269666877679755,0.3285103390371082,0.29195573565128907,0.32365064975536895,,,,,,,,,,,,,,,,,,,,,,,,
study_1_xlm-roberta-large-True,0.3815609117309136,0.36568481937380304,0.3446143964818005,0.1256882241229224,0.17903783081333308,0.2694423880980544,0.22523544074879584,0.21678140076770497,0.4087193435040634,0.32891460801115885,0.4574332080097014,0.2920187305954117,0.42490266897400586,0.37207352988079573,0.3809262338096399,0.32329834195603646,0.4041588206748071,0.3795536790117971,0.3479976626699461,0.36605397317463145,0.4105909918057754,0.27355961665330836,0.4621344435388937,0.35222999051326165,,,,,,,,,,,,,,,,,,,,,,,,
study_1_albert-xlarge-v2-True,0.5414543089517424,0.43048735793744924,0.49829684994040246,0.44185286430515486,0.44921666482620354,0.45051553471143724,0.4499119001625704,0.4338320293072459,0.4372457323464906,0.4230995458927975,0.4170673216324132,0.43296354582203106,0.4164124103453582,0.4165153414670771,0.4188611766979402,0.421028015097467,0.41298184401717775,0.41203249183586643,0.42098245271037243,0.410508628354838,0.4310412287643492,0.3990695673390355,0.4093983471517643,0.2779718670581942,,,,,,,,,,,,,,,,,,,,,,,,
study_1_roberta-base-True,0.46313795653457485,0.42519906328302265,0.44337878913505885,0.40045920298232296,0.39605661409014303,0.3839768690190783,0.3750400465360161,0.3935810598550894,0.37190021727902645,0.3604431809527218,0.3425829314120792,0.39707948291597056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
